sample,batch,group,benchmark
P1_FA_0001_0110_2,2,0,1
P1_FA_0001_0124_0,3,0,1
P1_FA_0001_0124_1,3,0,1
P1_FA_0001_0124_2,3,0,1
P1_FA_0001_0219_0,4,0,1
P1_FA_0001_0219_1,4,0,1
P1_FA_0001_0219_2,4,0,1
P1_FA_0001_0221_0,5,0,1
P1_FA_0001_0221_1,5,0,1
P1_FA_0001_0221_2,5,0,1
P1_FA_0001_0304_0,6,0,1
P1_FA_0001_0304_1,6,0,1
P1_FA_0001_0304_2,6,0,1
P1_FA_0001_0306_0,7,0,1
P1_FA_0001_0306_1,7,0,1
P1_FA_0001_0306_2,7,0,1
P1_PP_0256_0108_0,1,0,0
P1_PP_0256_0108_1,1,0,0
P1_PP_0256_0108_2,1,0,0
P2_S_PP_0008_0108_0,1,0,0
P2_S_PP_0008_0108_1,1,0,0
P2_S_PP_0008_0108_2,1,0,0
P2_S_13C_0008_0108_0,1,0,0
P2_S_13C_0008_0108_1,1,0,0
P2_S_13C_0008_0108_2,1,0,0
P1_PP_2048_0108_0,1,0,0
P1_PP_2048_0108_1,1,0,0
P1_PP_2048_0108_2,1,0,0
P1_13C_0064_0108_0,1,0,0
P1_13C_0064_0108_1,1,0,0
P1_13C_0064_0108_2,1,0,0
P1_PP_0004_0108_0,1,0,0
P1_PP_0004_0108_1,1,0,0
P1_PP_0004_0108_2,1,0,0
P2_S_13C_0128_0108_0,1,0,0
P2_S_13C_0128_0108_1,1,0,0
P2_S_13C_0128_0108_2,1,0,0
P2_AAFAPP_0004_0108_0,1,0,0
P2_AAFAPP_0004_0108_1,1,0,0
P2_AAFAPP_0004_0108_2,1,0,0
P2_S_13C_0032_0108_0,1,0,0
P2_S_13C_0032_0108_1,1,0,0
P2_S_13C_0032_0108_2,1,0,0
P1_PP_0032_0108_0,1,0,0
P1_PP_0032_0108_1,1,0,0
P1_PP_0032_0108_2,1,0,0
P2_S_PP_0128_0108_0,1,0,0
P2_S_PP_0128_0108_1,1,0,0
P2_S_PP_0128_0108_2,1,0,0
P1_FA_0004_0108_0,1,0,0
P1_FA_0004_0108_1,1,0,0
P1_FA_0004_0108_2,1,0,0
P1_PP_0001_0108_0,1,0,0
P1_PP_0001_0108_1,1,0,0
P1_PP_0001_0108_2,1,0,0
P2_AAFAPP_0001_0108_0,1,0,0
P2_AAFAPP_0001_0108_1,1,0,0
P2_AAFAPP_0001_0108_2,1,0,0
P2_S_AA_0128_0108_0,1,0,0
P2_S_AA_0128_0108_1,1,0,0
P2_S_AA_0128_0108_2,1,0,0
P1_AAFAPP_0008_0108_0,1,0,0
P1_AAFAPP_0008_0108_1,1,0,0
P1_AAFAPP_0008_0108_2,1,0,0
P2_S_FA_0016_0108_0,1,0,0
P2_S_FA_0016_0108_1,1,0,0
P2_S_FA_0016_0108_2,1,0,0
P1_AAFAPP_0016_0108_0,1,0,0
P1_AAFAPP_0016_0108_1,1,0,0
P1_AAFAPP_0016_0108_2,1,0,0
P2_S_0008_0108_0,1,0,0
P2_S_0008_0108_1,1,0,0
P2_S_0008_0108_2,1,0,0
P1_13C_1024_0108_0,1,0,0
P1_13C_1024_0108_1,1,0,0
P1_13C_1024_0108_2,1,0,0
P2_S_FA_0004_0108_0,1,0,0
P2_S_FA_0004_0108_1,1,0,0
P2_S_FA_0004_0108_2,1,0,0
P1_S_0004_0108_0,1,0,0
P1_S_0004_0108_1,1,0,0
P1_S_0004_0108_2,1,0,0
P1_AA_0256_0108_0,1,0,0
P1_AA_0256_0108_1,1,0,0
P1_AA_0256_0108_2,1,0,0
P1_S_0001_0108_0,1,0,0
P1_S_0001_0108_1,1,0,0
P1_S_0001_0108_2,1,0,0
P1_13C_0016_0108_0,1,0,0
P1_13C_0016_0108_1,1,0,0
P1_13C_0016_0108_2,1,0,0
P1_AA_2048_0108_0,1,0,0
P1_AA_2048_0108_1,1,0,0
P1_AA_2048_0108_2,1,0,0
P1_PP_0512_0108_0,1,0,0
P1_PP_0512_0108_1,1,0,0
P1_PP_0512_0108_2,1,0,0
P2_S_PP_0002_0108_0,1,0,0
P2_S_PP_0002_0108_1,1,0,0
P2_S_PP_0002_0108_2,1,0,0
P2_S_FA_0128_0108_0,1,0,0
P2_S_FA_0128_0108_1,1,0,0
P2_S_FA_0128_0108_2,1,0,0
P1_S_0008_0108_0,1,0,0
P1_S_0008_0108_1,1,0,0
P1_S_0008_0108_2,1,0,0
P1_S_0512_0108_0,1,0,0
P1_S_0512_0108_1,1,0,0
P1_S_0512_0108_2,1,0,0
P1_PP_0008_0108_0,1,0,0
P1_PP_0008_0108_1,1,0,0
P1_PP_0008_0108_2,1,0,0
P1_PP_1024_0108_0,1,0,0
